City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp C
93,timbuktu,16.7735,-3.0074,305.17,45,100,6.27,ML,1720594229,32.02000000000004
94,prince george,53.9166,-122.753,294.84,60,0,1.54,CA,1720594230,21.689999999999998
95,longyearbyen,78.2186,15.6401,278.06,81,75,8.75,SJ,1720594079,4.910000000000025
96,tazovsky,67.4667,78.7,292.09,47,8,5.2,RU,1720594232,18.939999999999998
97,tolanaro,-25.0319,46.9987,293.19,83,0,1.54,MG,1720594233,20.04000000000002
98,n'zeto,-7.2312,12.8666,295.03,85,100,2.73,AO,1720594234,21.879999999999995
99,fort bragg,35.139,-79.006,300.06,88,0,2.06,US,1720594236,26.910000000000025
100,tiksi,71.6872,128.8694,290.07,46,52,1.55,RU,1720594237,16.920000000000016
101,namibe,-15.1961,12.1522,292.11,74,0,3.46,AO,1720594238,18.960000000000036
102,codrington,-38.2667,141.9667,285.37,55,100,4.87,AU,1720594239,12.220000000000027
103,niafunke,15.9322,-3.9906,304.0,53,97,5.7,ML,1720594241,30.850000000000023
104,kununurra,-15.7667,128.7333,305.14,33,20,4.63,AU,1720594242,31.99000000000001
105,iskateley,67.6803,53.1512,285.63,97,100,6.28,RU,1720594243,12.480000000000018
106,saipan,15.1355,145.701,305.54,70,40,6.17,MP,1720594244,32.39000000000004
107,coquimbo,-29.9533,-71.3436,282.0,73,100,1.54,CL,1720594245,8.850000000000023
108,isafjordur,66.0755,-23.124,282.23,70,100,6.75,IS,1720594246,9.080000000000041
109,utrik,11.2278,169.8474,300.98,73,5,7.45,MH,1720594249,27.83000000000004
110,fale old settlement,-9.3852,-171.2468,301.64,69,91,8.2,TK,1720594250,28.49000000000001
111,ilulissat,69.2167,-51.1,278.16,87,100,2.06,GL,1720594251,5.010000000000048
112,lebork,54.5392,17.7501,298.95,60,91,6.21,PL,1720594252,25.80000000000001
113,puerto aysen,-45.4,-72.7,274.09,98,100,1.62,CL,1720594254,0.9399999999999977
114,imbituba,-28.24,-48.6703,286.96,92,100,4.04,BR,1720594255,13.810000000000002
115,palmer,42.1584,-72.3287,297.51,80,100,1.54,US,1720594256,24.360000000000014
116,kapa'a,22.0752,-159.319,298.33,77,20,8.75,US,1720594257,25.180000000000007
117,bhag,29.0415,67.8239,318.39,21,59,4.36,PK,1720594258,45.24000000000001
118,olyokminsk,60.3736,120.4264,303.67,25,69,4.08,RU,1720594259,30.52000000000004
119,albany,42.6001,-73.9662,297.36,89,44,0.69,US,1720594206,24.210000000000036
120,kerikeri,-35.2268,173.9474,281.99,86,31,0.45,NZ,1720594262,8.840000000000032
121,touros,-5.1989,-35.4608,296.68,89,89,4.08,BR,1720594263,23.53000000000003
122,constantia,44.1833,28.65,306.53,56,100,6.82,RO,1720594075,33.379999999999995
123,selibaby,15.159,-12.1829,302.38,68,100,4.94,MR,1720594265,29.230000000000018
124,port mathurin,-19.6833,63.4167,295.68,66,1,7.47,MU,1720594267,22.53000000000003
125,brookings,44.3114,-96.7984,293.25,90,100,3.58,US,1720594268,20.100000000000023
126,bamboo flat,11.7,92.7167,302.81,73,28,6.06,IN,1720594269,29.660000000000025
127,port elizabeth,-33.918,25.5701,286.66,80,0,6.17,ZA,1720594270,13.510000000000048
128,leninskoye,41.7589,69.3864,307.41,17,0,4.17,KZ,1720594271,34.26000000000005
129,praia da vitoria,38.7333,-27.0667,295.29,83,20,7.13,PT,1720594272,22.140000000000043
130,zetea,46.3833,25.3667,298.87,39,0,2.59,RO,1720594274,25.720000000000027
131,wuchang,44.9143,127.15,299.78,58,1,3.91,CN,1720594275,26.629999999999995
132,redencao,-4.2258,-38.7306,295.12,96,100,1.29,BR,1720594276,21.970000000000027
